pi_rx_time_ns,address,name,rssi,company_id,version,node_num,exp_code,seq,t_local_us,raw_hex,pipeline_version,pi_time_us,raw_delay_ms,norm_delay_ms
1774944593369761000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-64,4660,2,1,W1BL,24,187139005,02015731424c18000000bd83270b,0.1.1,1774944593369761.0,1774944406230.756,-39.75
1774944596642089000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-60,4660,2,1,W1BL,25,190376226,02015731424c1900000022e9580b,0.1.1,1774944596642089.0,1774944406265.863,-4.64306640625
1774944599358143000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-61,4660,2,1,W1BL,26,193184518,02015731424c1a00000006c3830b,0.1.1,1774944599358143.0,1774944406173.625,-96.881103515625
1774944602348008000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-65,4660,2,1,W1BL,27,196215551,02015731424c1b000000ff02b20b,0.1.1,1774944602348008.0,1774944406132.457,-138.049072265625
1774944605969215000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-65,4660,2,1,W1BL,28,199652386,02015731424c1c0000002274e60b,0.1.1,1774944605969215.0,1774944406316.829,46.322998046875
1774944609268979000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-60,4660,2,1,W1BL,29,202921620,02015731424c1d0000009456180c,0.1.1,1774944609268979.0,1774944406347.359,76.852783203125
1774944612231426000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-65,4660,2,1,W1BL,30,205921266,02015731424c1e000000f21b460c,0.1.1,1774944612231426.0,1774944406310.16,39.65380859375
1774944614944946000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-64,4660,2,1,W1BL,31,208581753,02015731424c1f00000079b46e0c,0.1.1,1774944614944946.0,1774944406363.193,92.68701171875
1774944617650612000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-65,4660,2,1,W1BL,32,211516590,02015731424c20000000ae7c9b0c,0.1.1,1774944617650612.0,1774944406134.022,-136.484130859375
1774944620640655000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-63,4660,2,1,W1BL,33,214511214,02015731424c210000006e2ec90c,0.1.1,1774944620640655.0,1774944406129.441,-141.065185546875
1774944625154407000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-61,4660,2,1,W1BL,34,218854238,02015731424c220000005e730b0d,0.1.1,1774944625154407.0,1774944406300.169,29.662841796875
1774944628444723000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-65,4660,2,1,W1BL,35,222084268,02015731424c23000000acbc3c0d,0.1.1,1774944628444723.0,1774944406360.455,89.948974609375
1774944631731151000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-60,4660,2,1,W1BL,36,225379252,02015731424c24000000b4036f0d,0.1.1,1774944631731151.0,1774944406351.899,81.392822265625
1774944634744352000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-65,4660,2,1,W1BL,37,228420325,02015731424c25000000e56a9d0d,0.1.1,1774944634744352.0,1774944406324.027,53.52099609375
1774944638046371000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-63,4660,2,1,W1BL,38,231684926,02015731424c260000003e3bcf0d,0.1.1,1774944638046371.0,1774944406361.445,90.93896484375
1774944641066839000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-73,4660,2,1,W1BL,39,234798218,02015731424c270000008abcfe0d,0.1.1,1774944641066839.0,1774944406268.621,-1.885009765625
1774944644053137000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-67,4660,2,1,W1BL,40,237837377,02015731424c28000000411c2d0e,0.1.1,1774944644053137.0,1774944406215.76,-54.74609375
1774944646731173000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-67,4660,2,1,W1BL,41,240600613,02015731424c290000002546570e,0.1.1,1774944646731173.0,1774944406130.56,-139.946044921875
1774944650059336000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-72,4660,2,1,W1BL,42,243839600,02015731424c2a00000070b2880e,0.1.1,1774944650059336.0,1774944406219.736,-50.77001953125
1774944653646018000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-72,4660,2,1,W1BL,43,247511087,02015731424c2b0000002fb8c00e,0.1.1,1774944653646018.0,1774944406134.931,-135.5751953125
1774944656048814000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-66,4660,2,1,W1BL,44,249914704,02015731424c2c0000005065e50e,0.1.1,1774944656048814.0,1774944406134.11,-136.39599609375
1774944658756110000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-69,4660,2,1,W1BL,45,252486297,02015731424c2d00000099a20c0f,0.1.1,1774944658756110.0,1774944406269.813,-0.693115234375
1774944661196712000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-77,4660,2,1,W1BL,46,254923148,02015731424c2e0000008cd1310f,0.1.1,1774944661196712.0,1774944406273.564,3.057861328125
1774944663857664000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-72,4660,2,1,W1BL,47,257543043,02015731424c2f00000083cb590f,0.1.1,1774944663857664.0,1774944406314.621,44.114990234375
1774944666549398000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-72,4660,2,1,W1BL,48,260321049,02015731424c30000000192f840f,0.1.1,1774944666549398.0,1774944406228.349,-42.156982421875
1774944669273322000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-72,4660,2,1,W1BL,49,262999111,02015731424c31000000470cad0f,0.1.1,1774944669273322.0,1774944406274.211,3.704833984375
1774944672271383000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W1BL,50,265922949,02015731424c3200000085a9d90f,0.1.1,1774944672271383.0,1774944406348.434,77.927978515625
1774944674951971000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-68,4660,2,1,W1BL,51,268816902,02015731424c3300000006d20510,0.1.1,1774944674951971.0,1774944406135.069,-135.43701171875
1774944677938398000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-77,4660,2,1,W1BL,52,271673215,02015731424c340000007f673110,0.1.1,1774944677938398.0,1774944406265.183,-5.322998046875
1774944680389778000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-69,4660,2,1,W1BL,53,274252312,02015731424c3500000018c25810,0.1.1,1774944680389778.0,1774944406137.466,-133.0400390625
1774944683075485000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-68,4660,2,1,W1BL,54,276849438,02015731424c360000001e638010,0.1.1,1774944683075485.0,1774944406226.047,-44.458984375
1774944686388990000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-73,4660,2,1,W1BL,55,279987655,02015731424c37000000c745b010,0.1.1,1774944686388990.0,1774944406401.335,130.828857421875
1774944689369607000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-69,4660,2,1,W1BL,56,283050012,02015731424c380000001c00df10,0.1.1,1774944689369607.0,1774944406319.595,49.0888671875
1774944692093511000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-74,4660,2,1,W1BL,57,285819336,02015731424c39000000c8410911,0.1.1,1774944692093511.0,1774944406274.175,3.6689453125
1774944695382380000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-74,4660,2,1,W1BL,58,289106076,02015731424c3a0000009c683b11,0.1.1,1774944695382380.0,1774944406276.304,5.7978515625
1774944698699381000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W1BL,59,292341341,02015731424c3b0000005dc66c11,0.1.1,1774944698699381.0,1774944406358.04,87.533935546875
1774944702020055000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-75,4660,2,1,W1BL,60,295656390,02015731424c3c000000c65b9f11,0.1.1,1774944702020055.0,1774944406363.665,93.158935546875
1774944704737158000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-74,4660,2,1,W1BL,61,298603364,02015731424c3d0000006453cc11,0.1.1,1774944704737158.0,1774944406133.794,-136.712158203125
1774944708300468000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-74,4660,2,1,W1BL,62,301951371,02015731424c3e0000008b69ff11,0.1.1,1774944708300468.0,1774944406349.097,78.5908203125
1774944711296904000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-76,4660,2,1,W1BL,63,305070523,02015731424c3f000000bb012f12,0.1.1,1774944711296904.0,1774944406226.381,-44.125
1774944714313375000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-69,4660,2,1,W1BL,64,308134056,02015731424c40000000a8c05d12,0.1.1,1774944714313375.0,1774944406179.319,-91.18701171875
1774944717303060000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-80,4660,2,1,W1BL,65,311073120,02015731424c4100000060998a12,0.1.1,1774944717303060.0,1774944406229.94,-40.566162109375
1774944720600029000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-69,4660,2,1,W1BL,66,314366457,02015731424c42000000f9d9bc12,0.1.1,1774944720600029.0,1774944406233.572,-36.93408203125
1774944723604672000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-79,4660,2,1,W1BL,67,317280602,02015731424c430000005a51e912,0.1.1,1774944723604672.0,1774944406324.07,53.56396484375
1774944727217488000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-81,4660,2,1,W1BL,68,320901580,02015731424c44000000cc912013,0.1.1,1774944727217487.8,1774944406315.9077,45.401611328125
1774944736504106000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-76,4660,2,1,W1BL,71,330128309,02015731424c47000000b55bad13,0.1.1,1774944736504106.0,1774944406375.797,105.291015625
1774944739480713000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-74,4660,2,1,W1BL,72,333345975,02015731424c48000000b774de13,0.1.1,1774944739480713.0,1774944406134.738,-135.76806640625
1774944742492639000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-69,4660,2,1,W1BL,73,336170503,02015731424c49000000078e0914,0.1.1,1774944742492639.0,1774944406322.136,51.6298828125
1774944745208736000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-69,4660,2,1,W1BL,74,338881512,02015731424c4a000000e8eb3214,0.1.1,1774944745208736.0,1774944406327.224,56.718017578125
1774944747910059000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-69,4660,2,1,W1BL,75,341583466,02015731424c4b0000006a265c14,0.1.1,1774944747910059.0,1774944406326.593,56.0869140625
1774944750603387000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-67,4660,2,1,W1BL,76,344295532,02015731424c4c0000006c888514,0.1.1,1774944750603387.0,1774944406307.855,37.348876953125
1774944753831142000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-70,4660,2,1,W1BL,77,347465804,02015731424c4d0000004ce8b514,0.1.1,1774944753831142.0,1774944406365.338,94.831787109375
1774944756245913000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-64,4660,2,1,W1BL,78,350059471,02015731424c4e000000cf7bdd14,0.1.1,1774944756245913.0,1774944406186.442,-84.064208984375
1774944760756180000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-61,4660,2,1,W1BL,79,354390600,02015731424c4f00000048921f15,0.1.1,1774944760756180.0,1774944406365.58,95.073974609375
1774944765754492000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-65,4660,2,1,W1BL,80,359483986,02015731424c50000000524a6d15,0.1.1,1774944765754492.0,1774944406270.506,0.0
1774944768502160000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-66,4660,2,1,W1BL,81,362364837,02015731424c51000000a53f9915,0.1.1,1774944768502159.8,1774944406137.3228,-133.183349609375
1774944772085610000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-62,4660,2,1,W1BL,82,365851284,02015731424c520000009472ce15,0.1.1,1774944772085610.0,1774944406234.326,-36.18017578125
1774944775438005000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-62,4660,2,1,W1BL,83,369118930,02015731424c53000000d24e0016,0.1.1,1774944775438005.0,1774944406319.075,48.56884765625
1774944778176083000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-66,4660,2,1,W1BL,84,371822500,02015731424c54000000a48f2916,0.1.1,1774944778176083.0,1774944406353.583,83.076904296875
1774944780839932000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-62,4660,2,1,W1BL,85,374615670,02015731424c55000000762e5416,0.1.1,1774944780839932.0,1774944406224.262,-46.244140625
1774944783840233000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-65,4660,2,1,W1BL,86,377489743,02015731424c560000004f098016,0.1.1,1774944783840233.0,1774944406350.49,79.98388671875
1774944786217307000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-61,4660,2,1,W1BL,87,380079521,02015731424c57000000a18da716,0.1.1,1774944786217307.0,1774944406137.786,-132.72021484375
1774944789563674000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-60,4660,2,1,W1BL,88,383201753,02015731424c58000000d931d716,0.1.1,1774944789563674.0,1774944406361.921,91.414794921875
1774944792823993000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-65,4660,2,1,W1BL,89,386367371,02015731424c590000008b7f0717,0.1.1,1774944792823993.0,1774944406456.622,186.115966796875
1774944795833911000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-64,4660,2,1,W1BL,90,389529896,02015731424c5a00000028c13717,0.1.1,1774944795833911.0,1774944406304.015,33.5087890625
1774944798281019000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-60,4660,2,1,W1BL,91,392142527,02015731424c5b000000bf9e5f17,0.1.1,1774944798281019.0,1774944406138.492,-132.01416015625
1774944801256152000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-65,4660,2,1,W1BL,92,395074076,02015731424c5c0000001c5a8c17,0.1.1,1774944801256152.0,1774944406182.076,-88.43017578125
1774944803933563000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-64,4660,2,1,W1BL,93,397573935,02015731424c5d0000002f7fb217,0.1.1,1774944803933563.0,1774944406359.628,89.121826171875
1774944806631480000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-64,4660,2,1,W1BL,94,400409038,02015731424c5e000000cec1dd17,0.1.1,1774944806631480.0,1774944406222.442,-48.064208984375
1774944809379562000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-62,4660,2,1,W1BL,95,403241856,02015731424c5f00000080fb0818,0.1.1,1774944809379562.0,1774944406137.706,-132.800048828125
1774944812031439000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-64,4660,2,1,W1BL,96,405896079,02015731424c600000008f7b3118,0.1.1,1774944812031439.0,1774944406135.36,-135.14599609375
1774944814720225000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-64,4660,2,1,W1BL,97,408537591,02015731424c61000000f7c95918,0.1.1,1774944814720225.0,1774944406182.634,-87.8720703125
1774944817739115000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-59,4660,2,1,W1BL,98,411413691,02015731424c62000000bbac8518,0.1.1,1774944817739115.0,1774944406325.424,54.91796875
1774944820158104000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-64,4660,2,1,W1BL,99,413935501,02015731424c630000008d27ac18,0.1.1,1774944820158104.0,1774944406222.603,-47.903076171875
1774944827328339000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-64,4660,2,1,W1BL,101,421193440,02015731424c65000000e0e61a19,0.1.1,1774944827328339.0,1774944406134.899,-135.607177734375
